fid,SIDO_CD,SIDO_NM,xcoord,ycoord
1,"11",서울특별시,126.991792479013,37.5518988941212
2,"26",부산광역시,129.058612202175,35.1997001195752
3,"28",인천광역시,126.382959390135,37.5779375492494
4,"27",대구광역시,128.599240154539,35.969532957255
5,"29",광주광역시,126.835432591513,35.1557375806268
6,"30",대전광역시,127.394021061735,36.3398068648141
7,"31",울산광역시,129.23871521775,35.553475527646
8,"41",경기도,127.174817979343,37.5322856032091
9,"51",강원특별자치도,128.301065849271,37.725175454481
10,"43",충청북도,127.830476353096,36.7379113614098
11,"44",충청남도,126.847561044235,36.5299106068128
12,"52",전북특별자치도,127.137240137875,35.7164739401929
13,"46",전라남도,126.897811869247,34.8732364749384
14,"47",경상북도,128.752213249138,36.3534489671193
15,"48",경상남도,128.261910643751,35.3224145273527
16,"50",제주특별자치도,126.553640177628,33.387055479327
17,"36",세종특별자치시,127.258773753569,36.5606636138575
